,Neighbor #1,Neighbor #2,Neighbor #3
1,2,90,82
2,1,13,146
3,6,5,7
4,6,3,5
5,7,6,3
6,3,5,7
7,5,6,3
8,67,66,129
9,65,10,11
10,65,9,11
11,9,79,65
12,13,4,3
13,12,4,2
14,12,13,146
15,13,39,2
16,145,14,71
17,20,18,21
18,21,19,20
19,21,18,79
20,17,21,18
21,19,18,24
22,23,35,26
23,22,124,35
24,21,19,79
26,28,22,35
27,29,28,36
28,26,29,122
29,27,28,26
31,63,24,65
34,124,96,120
35,22,36,23
36,35,29,28
37,49,151,150
39,1,14,52
41,60,105,49
46,56,9,86
47,60,50,49
49,47,41,60
50,47,60,146
51,20,68,56
52,55,54,53
53,54,52,55
54,55,52,53
55,54,52,53
56,86,46,19
57,81,82,90
60,47,50,146
63,96,34,31
64,141,113,109
65,9,10,11
66,129,128,11
67,8,109,129
68,79,20,11
71,150,151,152
76,77,79,78
77,76,79,78
78,77,76,79
79,77,76,78
81,90,82,57
82,81,90,46
86,56,46,77
88,91,105,99
90,81,82,52
91,88,105,86
92,16,145,39
93,138,64,63
95,123,109,118
96,63,34,124
97,7,5,6
99,88,157,68
105,142,91,106
106,107,142,105
107,106,52,142
109,67,95,113
111,96,63,34
112,114,122,124
113,109,114,95
114,112,113,122
118,123,95,109
120,124,34,28
122,28,124,26
123,95,118,109
124,34,120,126
126,127,124,120
127,126,122,124
128,129,66,157
129,128,66,8
135,157,88,3
138,93,64,65
141,64,11,8
142,106,105,86
144,4,146,6
145,14,39,144
146,4,144,3
150,151,152,71
151,150,152,71
152,150,151,71
155,5,7,6
157,155,86,128
